;coeditor1;coeditor2;count
22;Herman_Jan;Pelckmans_Paul;24
1;Hasquin_Hervé;Mortier_Roland;18
154;Biard_Michel;Leuwers_Hervé;12
153;Biard_Michel;Bourdin_Philippe;11
206;Berchtold_Jacques;Porret_Michel;9
155;Bourdin_Philippe;Leuwers_Hervé;8
436;Peeters_Kris;Pelckmans_Paul;8
435;Herman_Jan;Peeters_Kris;8
0;Didier_Béatrice;Neefs_Jacques;7
696;Berchtold_Jacques;Martin_Christophe;7
1139;Biard_Michel;Ducange_Jean-Numa;6
527;Donato_Clorinda;Lüsebrink_Hans-Jürgen;6
4553;Grapotte_Sophie;Lequan_Mai;6
463;Bardet_Jean-Pierre;Ruggiu_François-Joseph;6
184;Porret_Michel;Rosset_François;6
329;Cook_Malcolm;Plagnol-Diéval_Marie-Emmanuelle;6
1682;Hersant_Marc;Ramond_Catherine;6
377;Lüsebrink_Hans-Jürgen;Mix_York-Gothart;6
378;Lüsebrink_Hans-Jürgen;Mollier_Jean-Yves;6
457;Armenteros_Carolina;Lebrun_Richard A.;5
924;Faggion_Lucien;Regina_Christophe;5
335;Leduc_Christian;Rioux-Beaulne_Mitia;5
542;Duranton_Henri;Rétat_Pierre;5
149;Biard_Michel;Serna_Pierre;5
487;Bachofen_Blaise;Bernardi_Bruno;5
39;Cointre_Annie;Rivara_Annie;5
757;Belleguic_Thierry;Vervacke_Sabrina;5
1366;Ferrone_Vincenzo;Roche_Daniel;5
9;Barbier_Frédéric;Varry_Dominique;5
1155;McCallam_David;Pratt_Terry;5
958;Bourdin_Philippe;Caron_Jean-Claude;5
24;Pelckmans_Paul;Rosset_François;5
23;Herman_Jan;Rosset_François;5
2305;Colombat_Bernard;Raby_Valérie;4
3313;Bouissou_Sylvie;Marchal-Ninosque_France;4
279;Bournonville_Coralie;Duflo_Colas;4
573;Corbin_Alain;Courtine_Jean-Jacques;4
3314;Denécheau_Pascal;Marchal-Ninosque_France;4
574;Corbin_Alain;Vigarello_Georges;4
575;Courtine_Jean-Jacques;Vigarello_Georges;4
618;Plagnol-Diéval_Marie-Emmanuelle;Quéro_Dominique;4
681;Delaurenti_Béatrice;Roux_Thomas Le;4
638;Favier_Thierry;Hache_Sophie;4
2304;Colombat_Bernard;Fournier_Jean-Marie;4
682;Chedeville_Émilie;Jollet_Étienne;4
683;Chedeville_Émilie;Sourdin_Claire;4
684;Jollet_Étienne;Sourdin_Claire;4
293;Seth_Catriona;Wauters_Éric;4
3312;Bouissou_Sylvie;Denécheau_Pascal;4
2301;Fonck_Bertrand;Veyssière_Laurent;4
90;Salaün_Franck;Schandeler_Jean-Pierre;4
417;Bouvier_Pascal;Clerc_Florence;4
514;Furet_François;Ozouf_Mona;4
1434;Maira_Daniel;Roulin_Jean-Marie;4
189;Martin_Christophe;Séité_Yannick;4
